# ts	v	v_base	v_vis	v_occ	v_lkg	cap_visible	cap_occl	final
1203.910	29.861	4.414	4.428	70.000	4.428	4.414	70.000	4.414
1203.959	29.856	4.431	4.414	70.000	4.414	4.431	70.000	4.431
1204.011	29.819	4.462	4.431	70.000	4.431	4.462	70.000	4.462
1204.062	29.787	4.483	4.462	70.000	4.462	4.483	70.000	4.483
1204.110	29.772	4.502	4.483	70.000	4.483	4.502	70.000	4.502
1204.159	29.747	4.537	4.502	70.000	4.502	4.537	70.000	4.537
1204.209	29.742	4.556	4.537	70.000	4.537	4.556	70.000	4.556
1204.260	29.760	4.587	4.556	70.000	4.556	4.587	70.000	4.587
1204.309	29.775	4.623	4.587	70.000	4.587	4.623	70.000	4.623
1204.360	29.788	4.656	4.623	70.000	4.623	4.656	70.000	4.656
1204.410	29.843	4.662	4.656	70.000	4.656	4.662	70.000	4.662
1204.460	29.892	4.675	4.662	70.000	4.662	4.675	70.000	4.675
1204.510	29.935	4.678	4.675	70.000	4.675	4.678	70.000	4.678
1204.555	29.971	4.693	4.678	70.000	4.678	4.693	70.000	4.693
1204.610	29.990	4.674	4.693	70.000	4.693	4.674	70.000	4.674
1204.656	30.020	4.681	4.674	70.000	4.674	4.681	70.000	4.681
1204.709	30.063	4.686	4.681	70.000	4.681	4.686	70.000	4.686
1204.760	30.086	4.670	4.686	70.000	4.686	4.670	70.000	4.670
1204.810	30.120	4.664	4.670	70.000	4.670	4.664	70.000	4.664
1204.860	30.159	4.635	4.664	70.000	4.664	4.635	70.000	4.635
1204.910	30.164	4.603	4.635	70.000	4.635	4.603	70.000	4.603
1204.960	30.191	4.584	4.603	70.000	4.603	4.584	70.000	4.584
1205.010	30.233	4.583	4.584	70.000	4.584	4.583	70.000	4.583
1205.061	30.260	4.598	4.583	70.000	4.583	4.598	70.000	4.598
1205.110	30.291	4.574	4.598	70.000	4.598	4.574	70.000	4.574
1205.161	30.322	4.554	4.574	70.000	4.574	4.554	70.000	4.554
1205.210	30.342	4.530	4.554	70.000	4.554	4.530	70.000	4.530
1205.260	30.372	4.507	4.530	70.000	4.530	4.507	70.000	4.507
1205.310	30.403	4.513	4.507	70.000	4.507	4.513	70.000	4.513
1205.356	30.426	4.515	4.513	70.000	4.513	4.515	70.000	4.515
1205.409	30.454	4.499	4.515	70.000	4.515	4.499	70.000	4.499
1205.460	30.482	4.507	4.499	70.000	4.499	4.507	70.000	4.507
1205.510	30.502	4.531	4.507	70.000	4.507	4.531	70.000	4.531
1205.560	30.538	4.550	4.531	70.000	4.531	4.550	70.000	4.550
1205.609	30.583	4.545	4.550	70.000	4.550	4.545	70.000	4.545
1205.660	30.612	4.534	4.545	70.000	4.545	4.534	70.000	4.534
1205.710	30.619	4.544	4.534	70.000	4.534	4.544	70.000	4.544
1205.760	30.636	4.544	4.544	70.000	4.544	4.544	70.000	4.544
1205.806	30.646	4.543	4.544	70.000	4.544	4.543	70.000	4.543
1205.859	30.675	4.531	4.543	70.000	4.543	4.531	70.000	4.531
1205.910	30.716	4.543	4.531	70.000	4.531	4.543	70.000	4.543
1205.960	30.746	4.525	4.543	70.000	4.543	4.525	70.000	4.525
1206.008	30.761	4.493	4.525	70.000	4.525	4.493	70.000	4.493
1206.060	30.789	4.475	4.493	70.000	4.493	4.475	70.000	4.475
1206.110	30.811	4.467	4.475	70.000	4.475	4.467	70.000	4.467
1206.160	30.831	4.455	4.467	70.000	4.467	4.455	70.000	4.455
1206.210	30.846	4.446	4.455	70.000	4.455	4.446	70.000	4.446
1206.259	30.856	4.439	4.446	70.000	4.446	4.439	70.000	4.439
1206.311	30.866	4.382	4.439	70.000	4.439	4.382	70.000	4.382
1206.356	30.869	4.392	4.382	70.000	4.382	4.392	70.000	4.392
1206.406	30.870	4.397	4.392	70.000	4.392	4.397	70.000	4.397
1206.460	30.870	4.404	4.397	70.000	4.397	4.404	70.000	4.404
1206.506	30.868	4.399	4.404	70.000	4.404	4.399	70.000	4.399
